 year  week     PET      ET   Alpha       R      RO      Ss      Su       M      DE  Yprime       Y       H       G     CMI
 1893     1  0.0000  0.0000  1.0000  0.0000  0.3500  1.0000 11.1800  1.0000  0.0000  0.0000  0.0000  0.0000  0.3500  0.3500
 1893     2  0.0000  0.0000  0.9997  0.0000  0.2000  1.0000 11.1800  1.0000  0.0000  0.0000  0.0000  0.3500  0.2000  0.2000
 1893     3  0.0000  0.0000  1.0000  0.0000  0.0000  1.0000 11.1800  1.0000  0.0000  0.0000  0.0000  0.2000  0.0000  0.0000
 1893     4  0.0000  0.0000  1.0000  0.0000  0.0600  1.0000 11.1800  1.0000  0.0000  0.0000  0.0000  0.0000  0.0600  0.0600
 1893     5  0.0000  0.0000  1.0000  0.0000  0.1000  1.0000 11.1800  1.0000  0.0000  0.0000  0.0000  0.0600  0.1000  0.1000
 1893     6  0.0000  0.0000  1.0000  0.0000  0.1000  1.0000 11.1800  1.0000  0.0000  0.0000  0.0000  0.1000  0.1000  0.1000
 1893     7  0.0000  0.0000  1.0000  0.0000  0.6500  1.0000 11.1800  1.0000  0.0000  0.0000  0.0000  0.1000  0.6500  0.6500
 1893     8  0.0000  0.0000  1.0000  0.0000  0.0000  1.0000 11.1800  1.0000  0.0000  0.0000  0.0000  0.5000  0.1500  0.1500
 1893     9  0.0000  0.0000  1.0000  0.0000  0.6500  1.0000 11.1800  1.0000  0.0000  0.0000  0.0000  0.1500  0.6500  0.6500
 1893    10  0.0000  0.0000  1.0000  0.0000  0.8700  1.0000 11.1800  1.0000  0.0000  0.0000  0.0000  0.5000  1.0200  1.0200
 1893    11  0.0000  0.0000  1.0000  0.0000  0.4700  1.0000 11.1800  1.0000  0.0000  0.0000  0.0000  0.5100  0.9800  0.9800
 1893    12  0.0000  0.0000  0.9989  0.0000  0.3900  1.0000 11.1800  1.0000  0.0000  0.0000  0.0000  0.5000  0.8700  0.8700
