PERIOD   ALPHA     BETA    GAMMA    DELTA
  1     1.0000   0.0308   0.0038   0.7733 
  2     0.9997   0.0222   0.0031   0.9038 
  3     1.0000   0.0336   0.0017   0.8362 
  4     1.0000   0.0335   0.0048   0.6131 
  5     1.0000   0.0383   0.0040   0.5472 
  6     1.0000   0.0457   0.0026   0.9355 
  7     1.0000   0.0591   0.0038   0.5730 
  8     1.0000   0.0628   0.0052   0.7607 
  9     1.0000   0.0544   0.0060   0.6464 
 10     1.0000   0.0916   0.0064   0.5562 
 11     1.0000   0.0879   0.0079   0.4206 
 12     0.9989   0.0960   0.0105   0.5695 
 13     0.9975   0.0915   0.0137   0.5139 
 14     0.9955   0.1027   0.0136   0.4369 
 15     0.9949   0.0918   0.0207   0.4360 
 16     0.9782   0.0905   0.0193   0.4869 
 17     0.9667   0.1249   0.0142   0.3993 
 18     0.9683   0.1234   0.0165   0.4341 
 19     0.9624   0.0974   0.0156   0.3704 
 20     0.9422   0.1035   0.0103   0.5377 
 21     0.9255   0.1365   0.0235   0.3728 
 22     0.9388   0.1186   0.0192   0.3815 
 23     0.9100   0.1128   0.0249   0.4622 
 24     0.9246   0.0854   0.0063   0.4494 
 25     0.9043   0.0877   0.0146   0.4477 
 26     0.8850   0.0812   0.0101   0.5382 
 27     0.8494   0.0407   0.0054   0.5276 
 28     0.8197   0.0282   0.0022   0.5994 
 29     0.7748   0.0375   0.0077   0.6394 
 30     0.7653   0.0241   0.0004   0.6604 
 31     0.7938   0.0374   0.0017   0.4928 
 32     0.7766   0.0413   0.0003   0.5761 
 33     0.7671   0.0366   0.0000   0.5851 
 34     0.7463   0.0346   0.0037   0.5819 
 35     0.7242   0.0117   0.0017   0.6297 
 36     0.7143   0.0377   0.0030   0.5518 
 37     0.7625   0.0525   0.0051   0.5209 
 38     0.7665   0.0436   0.0043   0.5252 
 39     0.8037   0.0275   0.0033   0.6074 
 40     0.7762   0.0397   0.0002   0.5764 
 41     0.7754   0.0293   0.0060   0.5940 
 42     0.7514   0.0420   0.0004   0.6488 
 43     0.7815   0.0203   0.0043   0.6619 
 44     0.8481   0.0544   0.0019   0.5677 
 45     0.8273   0.0469   0.0007   0.6463 
 46     0.8354   0.0388   0.0002   0.5977 
 47     0.9475   0.0434   0.0019   0.6655 
 48     0.9031   0.0375   0.0063   0.7788 
 49     0.9068   0.0362   0.0016   0.7085 
 50     0.9163   0.0245   0.0034   0.7836 
 51     1.0000   0.0259   0.0017   0.5537 
 52     0.9480   0.0426   0.0016   0.8140 
